State,State_Code,Region,Overall_Rank,Total_Score,Emotional_Physical_WellBeing_Rank,Work_Environment_Rank,Community_Environment_Rank,Candy,Candy_Rank,Candy_Type
New Hampshire,NH,Northeast,8.0,59.56,15.0,10.0,7.0,Heart-Shaped Box of Chocolates,1,Chocolate
New Hampshire,NH,Northeast,8.0,59.56,15.0,10.0,7.0,Chocolate Hearts,3,Chocolate
New Jersey,NJ,Northeast,4.0,63.42,1.0,23.0,36.0,Heart-Shaped Box of Chocolates,1,Chocolate
New Jersey,NJ,Northeast,4.0,63.42,1.0,23.0,36.0,M&M's,2,Chocolate
New Jersey,NJ,Northeast,4.0,63.42,1.0,23.0,36.0,Conversation Hearts,3,Hard Candy
New Mexico,NM,Southwest,44.0,43.08,44.0,46.0,15.0,Candy Necklaces,3,Hard Candy
New Mexico,NM,Southwest,44.0,43.08,44.0,46.0,15.0,Chocolate Roses,1,Chocolate
New Mexico,NM,Southwest,44.0,43.08,44.0,46.0,15.0,Heart-Shaped Box of Chocolates,2,Chocolate
New York,NY,Northeast,16.0,55.42,5.0,42.0,45.0,Conversation Hearts,1,Hard Candy
New York,NY,Northeast,16.0,55.42,5.0,42.0,45.0,Cinnamon Bears,3,Chewy Candy
New York,NY,Northeast,16.0,55.42,5.0,42.0,45.0,Heart-Shaped Box of Chocolates,2,Chocolate
North Carolina,NC,Southeast,28.0,50.97,22.0,28.0,33.0,Conversation Hearts,1,Hard Candy
North Carolina,NC,Southeast,28.0,50.97,22.0,28.0,33.0,Cupid Corn,3,Chewy Candy
North Carolina,NC,Southeast,28.0,50.97,22.0,28.0,33.0,Heart-Shaped Box of Chocolates,2,Chocolate
North Dakota,ND,Midwest,21.0,53.43,20.0,9.0,41.0,Conversation Hearts,2,Hard Candy
North Dakota,ND,Midwest,21.0,53.43,20.0,9.0,41.0,M&M's,1,Chocolate
North Dakota,ND,Midwest,21.0,53.43,20.0,9.0,41.0,Heart-Shaped Box of Chocolates,3,Chocolate
Ohio,OH,Midwest,38.0,45.67,38.0,39.0,22.0,Conversation Hearts,3,Hard Candy
Ohio,OH,Midwest,38.0,45.67,38.0,39.0,22.0,Cupid Corn,2,Chewy Candy
Ohio,OH,Midwest,38.0,45.67,38.0,39.0,22.0,Heart-Shaped Box of Chocolates,1,Chocolate
Oklahoma,OK,Southwest,36.0,47.05,46.0,40.0,3.0,Heart-Shaped Box of Chocolates,1,Chocolate
Oklahoma,OK,Southwest,36.0,47.05,46.0,40.0,3.0,Conversation Hearts,2,Hard Candy
Oklahoma,OK,Southwest,36.0,47.05,46.0,40.0,3.0,Chocolate Roses,3,Chocolate
Oregon,OR,West,39.0,44.93,36.0,30.0,39.0,Heart-Shaped Box of Chocolates,3,Chocolate
Oregon,OR,West,39.0,44.93,36.0,30.0,39.0,M&M's,2,Chocolate
Oregon,OR,West,39.0,44.93,36.0,30.0,39.0,Hershey Kisses,1,Chocolate
Pennsylvania,PA,Northeast,18.0,54.73,14.0,31.0,16.0,M&M's,2,Chocolate
Pennsylvania,PA,Northeast,18.0,54.73,14.0,31.0,16.0,Conversation Hearts,3,Hard Candy
Pennsylvania,PA,Northeast,18.0,54.73,14.0,31.0,16.0,Hershey Kisses,1,Chocolate
Rhode Island,RI,Northeast,26.0,51.68,19.0,15.0,44.0,Conversation Hearts,3,Hard Candy
Rhode Island,RI,Northeast,26.0,51.68,19.0,15.0,44.0,Chocolate Hearts,1,Chocolate
Rhode Island,RI,Northeast,26.0,51.68,19.0,15.0,44.0,Heart-Shaped Box of Chocolates,2,Chocolate
South Carolina,SC,Southeast,25.0,52.82,25.0,20.0,17.0,Conversation Hearts,1,Hard Candy
South Carolina,SC,Southeast,25.0,52.82,25.0,20.0,17.0,Heart-Shaped Box of Chocolates,2,Chocolate
South Carolina,SC,Southeast,25.0,52.82,25.0,20.0,17.0,Ghirardelli Gift Box,3,Chocolate
South Dakota,SD,Midwest,13.0,55.93,30.0,3.0,6.0,Hershey Kisses,2,Chocolate
South Dakota,SD,Midwest,13.0,55.93,30.0,3.0,6.0,Chocolate Hearts,3,Chocolate
South Dakota,SD,Midwest,13.0,55.93,30.0,3.0,6.0,Conversation Hearts,1,Hard Candy
Tennessee,TN,Southeast,45.0,41.22,47.0,29.0,35.0,Conversation Hearts,1,Hard Candy
Tennessee,TN,Southeast,45.0,41.22,47.0,29.0,35.0,Heart-Shaped Box of Chocolates,2,Chocolate
Tennessee,TN,Southeast,45.0,41.22,47.0,29.0,35.0,Wild Berry Skittles,3,Chewy Candy
Texas,TX,Southwest,37.0,46.41,23.0,26.0,50.0,Hershey Kisses,1,Chocolate
Texas,TX,Southwest,37.0,46.41,23.0,26.0,50.0,Heart-Shaped Box of Chocolates,2,Chocolate
Texas,TX,Southwest,37.0,46.41,23.0,26.0,50.0,Conversation Hearts,3,Hard Candy
Utah,UT,West,6.0,61.12,26.0,1.0,1.0,Hershey Kisses,1,Chocolate
Utah,UT,West,6.0,61.12,26.0,1.0,1.0,M&M's,2,Chocolate
Utah,UT,West,6.0,61.12,26.0,1.0,1.0,Conversation Hearts,3,Hard Candy
Vermont,VT,Northeast,29.0,49.93,31.0,4.0,42.0,Candy Necklaces,3,Hard Candy
Vermont,VT,Northeast,29.0,49.93,31.0,4.0,42.0,M&M's,1,Chocolate
Vermont,VT,Northeast,29.0,49.93,31.0,4.0,42.0,Conversation Hearts,2,Hard Candy
Virginia,VA,Southeast,15.0,55.45,12.0,17.0,37.0,Hershey Kisses,3,Chocolate
Virginia,VA,Southeast,15.0,55.45,12.0,17.0,37.0,Conversation Hearts,1,Hard Candy
Virginia,VA,Southeast,15.0,55.45,12.0,17.0,37.0,Heart-Shaped Box of Chocolates,2,Chocolate
Washington,WA,West,24.0,52.88,18.0,36.0,18.0,Conversation Hearts,1,Hard Candy
Washington,WA,West,24.0,52.88,18.0,36.0,18.0,Chocolate Roses,3,Chocolate
Washington,WA,West,24.0,52.88,18.0,36.0,18.0,Heart-Shaped Box of Chocolates,2,Chocolate
"Washington, D.C.",DC,Northeast,,,,,,Conversation Hearts,2,Hard Candy
"Washington, D.C.",DC,Northeast,,,,,,Cinnamon Bears,3,Chewy Candy
"Washington, D.C.",DC,Northeast,,,,,,Heart-Shaped Box of Chocolates,1,Chocolate
West Virginia,WV,Southeast,50.0,32.04,50.0,50.0,27.0,Conversation Hearts,1,Hard Candy
West Virginia,WV,Southeast,50.0,32.04,50.0,50.0,27.0,Cupid Corn,2,Chewy Candy
West Virginia,WV,Southeast,50.0,32.04,50.0,50.0,27.0,Candy Necklaces,3,Hard Candy
Wisconsin,WI,Midwest,20.0,53.62,24.0,13.0,28.0,Conversation Hearts,2,Hard Candy
Wisconsin,WI,Midwest,20.0,53.62,24.0,13.0,28.0,Ghirardelli Gift Box,3,Chocolate
Wisconsin,WI,Midwest,20.0,53.62,24.0,13.0,28.0,Hershey Kisses,1,Chocolate
Wyoming,WY,West,30.0,49.47,39.0,38.0,5.0,Chocolate Roses,1,Chocolate
Wyoming,WY,West,30.0,49.47,39.0,38.0,5.0,Conversation Hearts,2,Hard Candy
Wyoming,WY,West,30.0,49.47,39.0,38.0,5.0,Heart-Shaped Box of Chocolates,3,Chocolate
